regionID,regionName
10000019,A821-A
10000054,Aridia
10000069,BlackRise
10000055,Branch
10000007,Cache
10000014,Catch
10000051,CloudRing
10000053,CobaltEdge
10000012,Curse
10000035,Deklein
10000060,Delve
10000001,Derelik
10000005,Detorid
10000036,Devoid
10000043,Domain
10000039,Esoteria
10000064,Essence
10000027,EtheriumReach
10000037,Everyshore
10000046,Fade
10000056,Feythabolis
10000058,Fountain
10000029,Geminate
10000067,Genesis
10000011,GreatWildlands
10000030,Heimatar
10000025,Immensea
10000031,Impass
10000009,Insmother
10000017,J7HZ-F
10000052,Kador
10000049,Khanid
10000065,Kor-Azor
10000016,Lonetrek
10000013,Malpais
10000042,Metropolis
10000028,MoldenHeath
10000040,Oasa
10000062,Omist
10000021,OuterPassage
10000057,OuterRing
10000059,ParagonSoul
10000063,PeriodBasis
10000066,PerrigenFalls
10000048,Placid
10000047,Providence
10000023,PureBlind
10000050,Querious
10000008,ScaldingPass
10000032,SinqLaison
10000044,Solitude
10000022,Stain
10000041,Syndicate
10000020,Tash-Murkon
10000045,Tenal
10000061,Tenerifis
10000038,TheBleakLands
10000033,TheCitadel
10000002,TheForge
10000034,TheKalevalaExpanse
10000018,TheSpire
10000010,Tribute
10000004,UUA-F4
10000003,ValeoftheSilent
10000015,Venal
10000068,VergeVendor
10000006,WickedCreek
